chateau,region_x,classification,year,score,price_usd,vintage_score,biodynamic,source,appellation,region_y,regional_vintage_score
Giscours,Margaux,3,2023,94.0,79.0,95,0,WineSearcher,Margaux,Margaux,92.0
Giscours,Margaux,3,2024,92.0,59.0,93,0,WineSearcher,Margaux,Margaux,93.0
Grand-Puy-Lacoste,Pauillac,5,2000,92.0,,93,0,IEEE,Pauillac,Pauillac,92.0
Grand-Puy-Lacoste,Pauillac,5,2001,89.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Grand-Puy-Lacoste,Pauillac,5,2002,83.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Grand-Puy-Lacoste,Pauillac,5,2003,92.0,,93,0,IEEE,Pauillac,Pauillac,92.0
Grand-Puy-Lacoste,Pauillac,5,2004,91.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Grand-Puy-Lacoste,Pauillac,5,2005,93.0,,93,0,IEEE,Pauillac,Pauillac,93.0
Grand-Puy-Lacoste,Pauillac,5,2006,91.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Grand-Puy-Lacoste,Pauillac,5,2007,87.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Grand-Puy-Lacoste,Pauillac,5,2008,88.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Grand-Puy-Lacoste,Pauillac,5,2009,93.0,,94,0,IEEE,Pauillac,Pauillac,94.0
Grand-Puy-Lacoste,Pauillac,5,2010,93.0,,94,0,IEEE,Pauillac,Pauillac,94.0
Grand-Puy-Lacoste,Pauillac,5,2011,91.0,,92,0,IEEE,Pauillac,Pauillac,91.0
Grand-Puy-Lacoste,Pauillac,5,2012,93.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Grand-Puy-Lacoste,Pauillac,5,2013,90.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Grand-Puy-Lacoste,Pauillac,5,2014,93.0,,94,0,IEEE,Pauillac,Pauillac,93.0
Grand-Puy-Lacoste,Pauillac,5,2015,92.0,,94,0,IEEE,Pauillac,Pauillac,95.0
Grand-Puy-Lacoste,Pauillac,5,2016,94.0,,96,0,IEEE,Pauillac,Pauillac,96.0
Grand-Puy-Lacoste,Pauillac,5,2017,92.0,121.0,94,0,WineSearcher,Pauillac,Pauillac,93.0
Grand-Puy-Lacoste,Pauillac,5,2018,94.0,100.0,96,0,WineSearcher,Pauillac,Pauillac,96.0
Grand-Puy-Lacoste,Pauillac,5,2019,94.0,98.0,96,0,WineSearcher,Pauillac,Pauillac,95.0
Grand-Puy-Lacoste,Pauillac,5,2020,94.0,88.0,95,0,WineSearcher,Pauillac,Pauillac,95.0
Grand-Puy-Lacoste,Pauillac,5,2021,92.0,76.0,94,0,WineSearcher,Pauillac,Pauillac,93.0
Grand-Puy-Lacoste,Pauillac,5,2022,94.0,100.0,96,0,WineSearcher,Pauillac,Pauillac,96.0
Grand-Puy-Lacoste,Pauillac,5,2023,93.0,78.0,95,0,WineSearcher,Pauillac,Pauillac,95.0
Grand-Puy-Lacoste,Pauillac,5,2024,92.0,56.0,93,0,WineSearcher,Pauillac,Pauillac,92.0
Haut-Brion,Pessac-Leognan,1,2000,94.0,,93,0,IEEE,Pessac-Leognan,Pessac-Leognan,92.0
Haut-Brion,Pessac-Leognan,1,2001,95.0,,91,0,IEEE,Pessac-Leognan,Pessac-Leognan,91.0
Haut-Brion,Pessac-Leognan,1,2002,93.0,,91,0,IEEE,Pessac-Leognan,Pessac-Leognan,92.0
Haut-Brion,Pessac-Leognan,1,2003,96.0,,93,0,IEEE,Pessac-Leognan,Pessac-Leognan,92.0
Haut-Brion,Pessac-Leognan,1,2004,95.0,,92,0,IEEE,Pessac-Leognan,Pessac-Leognan,91.0
Haut-Brion,Pessac-Leognan,1,2005,100.0,,93,0,IEEE,Pessac-Leognan,Pessac-Leognan,92.0
Haut-Brion,Pessac-Leognan,1,2006,94.0,,92,0,IEEE,Pessac-Leognan,Pessac-Leognan,91.0
